calldate,oa_p2a,momt,opr,sms_count,idr
2026-02-26,INDOSAT_MKT,MO,GAH,34253,7234418.0
2026-02-26,INDOSAT_MKT,MT,GAH,19205,3978060.0
2026-02-26,GRAB,MO,GAH,82687,20565822.0
2026-02-26,GRAB,MT,GAH,66109,14703132.0
2026-02-26,DANA,MO,GAH,45049,8681184.0
2026-02-26,DANA,MT,GAH,41742,7345173.0
2026-02-26,MYXL,MO,GAH,51258,12440857.0
2026-02-26,MYXL,MT,GAH,77372,15446522.0
2026-02-26,TOKOPEDIA,MO,GAH,71821,14310366.0
2026-02-26,TOKOPEDIA,MT,GAH,27523,6560558.0
2026-02-26,MYXL,MO,INS,8035,1578786.0
2026-02-26,MYXL,MT,INS,22145,4954874.0
2026-02-26,SHOPEE,MO,INS,30769,7075530.0
2026-02-26,SHOPEE,MT,INS,49811,9534030.0
2026-02-26,BANK_BCA,MO,INS,57279,10594610.0
2026-02-26,BANK_BCA,MT,INS,37366,5647113.0
2026-02-26,OVO,MO,INS,27316,5982251.0
2026-02-26,OVO,MT,INS,40991,9387740.0
2026-02-26,MYXL,MO,MVN,18918,4135164.0
2026-02-26,MYXL,MT,MVN,51052,9679711.0
2026-02-26,GRAB,MO,MVN,81910,17332101.0
2026-02-26,GRAB,MT,MVN,8609,2007656.0
2026-02-26,INDOSAT_MKT,MO,MVN,28045,5133679.0
2026-02-26,INDOSAT_MKT,MT,MVN,45890,11115842.0
2026-02-26,DANA,MO,MVN,61585,14879940.0
2026-02-26,DANA,MT,MVN,8856,1900190.0
2026-02-26,BANK_BCA,MO,MVN,67652,11199019.0
2026-02-26,BANK_BCA,MT,MVN,60694,14518359.0
2026-02-26,INDOSAT_MKT,MO,TLG,84439,18787375.0
2026-02-26,INDOSAT_MKT,MT,TLG,53246,10942997.0
2026-02-26,OVO,MO,TLG,7020,1199200.0
2026-02-26,OVO,MT,TLG,49639,11414663.0
2026-02-26,DANA,MO,TLG,53911,8443611.0
2026-02-26,DANA,MT,TLG,25728,4580768.0
2026-02-26,LAZADA,MO,TLG,9154,1683560.0
2026-02-26,LAZADA,MT,TLG,58207,12377782.0
2026-02-26,BANK_BCA,MO,TLG,28043,5807654.0
2026-02-26,BANK_BCA,MT,TLG,49122,8288743.0
