call_date,operator,lokab,duration_min,charge
2026-02-26,GAH,JAKARTA,147296.09,13506510.0
2026-02-26,GAH,BANDUNG,140099.67,15003853.0
2026-02-26,GAH,SURABAYA,149007.14,15690598.0
2026-02-26,INS,SEMARANG,115923.71,9957142.0
2026-02-26,INS,MEDAN,101397.67,9283883.0
2026-02-26,INS,JAKARTA,101397.8,10156071.0
2026-02-26,MVN,SEMARANG,206495.12,18917683.0
2026-02-26,MVN,SURABAYA,194589.04,19980008.0
2026-02-26,MVN,MEDAN,176447.71,19282720.0
2026-02-26,TLG,SURABAYA,163466.75,15257356.0
2026-02-26,TLG,MEDAN,150858.5,13797430.0
2026-02-26,TLG,BANDUNG,150829.52,16275233.0
2026-02-26,TLI,JAKARTA,64559.28,6182802.0
2026-02-26,TLI,MEDAN,53639.38,5112834.0
2026-02-26,TLI,MAKASSAR,54593.75,5073704.0
2026-02-26,TSV,MAKASSAR,81176.44,9269820.0
2026-02-26,TSV,MEDAN,78112.75,7526634.0
2026-02-26,TSV,JAKARTA,87136.88,8849728.0
2026-02-27,GAH,SEMARANG,131448.71,14221706.0
2026-02-27,GAH,SURABAYA,125730.37,14403249.0
2026-02-27,GAH,JAKARTA,158365.28,17524628.0
2026-02-27,GAH,MEDAN,139185.15,15448788.0
2026-02-27,GAH,BANDUNG,142511.12,13738611.0
2026-02-27,INS,MAKASSAR,91606.28,9628301.0
2026-02-27,INS,BANDUNG,98888.01,10487529.0
2026-02-27,INS,SURABAYA,104308.21,11005187.0
2026-02-27,INS,MEDAN,93870.57,8180077.0
2026-02-27,INS,SEMARANG,106498.24,11081072.0
2026-02-27,INS,JAKARTA,98422.7,9943074.0
2026-02-27,MVN,SURABAYA,179154.63,20546475.0
2026-02-27,MVN,MEDAN,174605.25,18193866.0
2026-02-27,MVN,SEMARANG,210617.02,21421540.0
2026-02-27,MVN,MAKASSAR,183237.12,19338557.0
2026-02-27,TLG,SURABAYA,143489.7,13923514.0
2026-02-27,TLG,JAKARTA,167068.66,14532577.0
2026-02-27,TLG,BANDUNG,141443.96,15897465.0
2026-02-27,TLI,SURABAYA,64427.35,5752470.0
2026-02-27,TLI,MEDAN,53434.01,4765721.0
2026-02-27,TLI,SEMARANG,56635.3,6079781.0
2026-02-27,TLI,BANDUNG,64366.5,6511915.0
2026-02-27,TLI,MAKASSAR,67112.16,7208545.0
2026-02-27,TSV,SEMARANG,86213.17,7563247.0
2026-02-27,TSV,MEDAN,84260.38,7281233.0
2026-02-27,TSV,BANDUNG,82998.58,7327901.0
2026-02-27,TSV,JAKARTA,74987.69,7785475.0
2026-02-27,TSV,MAKASSAR,80149.56,8717257.0
2026-02-27,TSV,SURABAYA,81913.14,8000030.0
2026-02-28,GAH,MEDAN,110749.04,11171635.0
2026-02-28,GAH,MAKASSAR,104920.37,11974809.0
2026-02-28,GAH,SEMARANG,87710.94,9720424.0
2026-02-28,INS,MAKASSAR,76413.76,8257115.0
2026-02-28,INS,JAKARTA,72188.11,6872688.0
2026-02-28,INS,BANDUNG,70449.15,6608483.0
2026-02-28,MVN,MEDAN,138613.15,14950657.0
2026-02-28,MVN,JAKARTA,143046.12,14337577.0
2026-02-28,MVN,BANDUNG,141991.91,12522597.0
2026-02-28,MVN,MAKASSAR,123274.68,12790859.0
2026-02-28,TLG,SURABAYA,110131.9,12511534.0
2026-02-28,TLG,BANDUNG,115917.98,13060829.0
2026-02-28,TLG,MAKASSAR,121738.43,13702246.0
2026-02-28,TLG,SEMARANG,108596.46,11181997.0
2026-02-28,TLI,JAKARTA,44972.63,4147652.0
2026-02-28,TLI,MAKASSAR,41610.27,4245109.0
2026-02-28,TLI,BANDUNG,41282.06,3606512.0
2026-02-28,TLI,SURABAYA,48618.05,5200052.0
2026-02-28,TLI,SEMARANG,50603.73,5540131.0
2026-02-28,TLI,MEDAN,45387.68,5189606.0
2026-02-28,TSV,SURABAYA,66186.76,6673625.0
2026-02-28,TSV,MEDAN,63040.54,6505646.0
2026-02-28,TSV,MAKASSAR,58105.98,6620066.0
2026-02-28,TSV,SEMARANG,63039.36,7115089.0
2026-03-01,GAH,MAKASSAR,114741.3,11990046.0
2026-03-01,GAH,BANDUNG,101877.17,9998532.0
2026-03-01,GAH,MEDAN,114958.77,11556492.0
2026-03-01,GAH,SEMARANG,80757.25,7157525.0
2026-03-01,INS,JAKARTA,79424.12,8070892.0
2026-03-01,INS,BANDUNG,75042.97,7703401.0
2026-03-01,INS,MAKASSAR,72741.34,6198706.0
2026-03-01,INS,SEMARANG,75071.07,7975192.0
2026-03-01,MVN,SURABAYA,111196.29,12319333.0
2026-03-01,MVN,JAKARTA,129896.4,11317317.0
2026-03-01,MVN,SEMARANG,135997.39,12530819.0
2026-03-01,TLG,SURABAYA,126346.74,13713496.0
2026-03-01,TLG,SEMARANG,108303.33,11829422.0
2026-03-01,TLG,MAKASSAR,105679.99,9586475.0
2026-03-01,TLG,BANDUNG,108452.6,9533843.0
